"Polity-century","NGA","UTM_zone","Latitude","Longitude","CoordinateSystem","Original_culture_name","Period_start","Period_end","Infrastructure","Infrastructure2","MinInfra","InfraID","Polity_population","LnPopulation","Polity_territory","Population_of_the_largest_settlement","Administrative_levels","AdminID","Military_levels","Religious_levels","Settlement_hierarchy","SettleID","Largest_communication_distance","Occupational_complexity","Professional_lawyers","Professional_military_officers","Professional_priesthood","Professional_soldiers","Bureaucracy_examination_system","Bureaucracy_merit_promotion","Bureaucracy_source_of_support","Fulltime_bureaucrats","Courts","Formal_legal_code","Judges","Bridges","Burial_site","Canals","Ceremonial_site","Communal_buildings","Drinking_water_supply_systems","Enclosures","Entertainment_buildings","Food_storage_sites","StorageProb","Irrigation_systems","Knowledge/information_buildings","Markets","Mines_or_quarries","Monumental_building_cost","Monumental_building_extent","Monumental_building_height","Ports","Roads","Special_purpose_house","Special_purpose_sites","Specialized_government_buildings","Symbolic_buildings","Trading_emporia","Utilitarian_public_buildings","Other_polity-owned_site","Calendar","Fiction","Geometrical_measurements","History","Lists_tables_and_classifications","Measurement_of_area","Measurement_of_time","Measurement_of_length","Measurement_of_volume","Measurement_of_weight","Mnemonic_devices","Nonphonetic_writing","Phonetic_alphabetic_writing","Philosophy","Practical_literature","Religious_literature","Sacred_texts","Scientific_literature","Script","Nonwritten_records","Written_records","Articles","Debt_and_credit_structures","Foreign_coins","Indigenous_coins","Paper_currency","Precious_metals","Store_of_wealth","WealthID","Tokens","Fastest_individual_communication","General_postal_service","Postal_stations","Couriers","Peak_date","Region","Region2","Capital","Degree_of_centralization","Language","Linguistic_family","Preceding_(quasi)polity","Relationship_to_preceding_(quasi)polity","Succeeding_(quasi)polity","Supracultural_entity","Scale_of_supracultural_interaction","Suprapolity_relations","High_gods_(creator_gods)","Supernatural_enforcement_of_fairness","Fairness","Supernatural_enforcement_of_human_reciprocity","Reciprocity","Supernatural_enforcement_of_ingroup_loyalty","Loyalty","SupNatKinAug","KinAugComp1","Name_of_official_cult","Largest_scale_ritual_name","Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience","Largest_scale_ritual_frequency_for_ritual_specialist","Largest_scale_ritual_frequency_per_participant","Most_dysphoric_ritual_name","Most_dysphoric_ritual_frequency_for_audience","Most_dysphoric_ritual_frequency_for_ritual_specialist","Most_dysphoric_ritual_frequency_per_participant","Most_euphoric_ritual_name","Most_euphoric_ritual_frequency_for_audience","Most_euphoric_ritual_frequency_for_ritual_specialist","Most_euphoric_ritual_frequency_per_participant","Most_frequent_ritual_name","Most_frequent_ritual_frequency_for_audience","Most_frequent_ritual_frequency_for_ritual_specialist","Most_frequent_ritual_frequency_per_participant","Most_widespread_ritual_name","Most_widespread_ritual_frequency_for_audience","Most_widespread_ritual_frequency_for_ritual_specialist","Most_widespread_ritual_frequency_per_participant","Name_of_other_significant_religious_or_ideological_systems","CC_PolPop","CC_PolTerr","CC_CapPop","CC_Hier","CC_Govt","CC_Infra","CC_Infra2","CC_Writing","CC_Texts","CC_Money","BasePolity","Percent_CCs_imputed","Percent_features_imputed","Percent_51_imputed","CC_PolPop_Regression_x0","CC_PolPop_Regression_x1","CC_PolPop_Regression_x2","CC_PolTerr_Regression_x0","CC_PolTerr_Regression_x1","CC_PolTerr_Regression_x2","CC_CapPop_Regression_x0","CC_CapPop_Regression_x1","CC_CapPop_Regression_x2","CC_Hier_Regression_x0","CC_Hier_Regression_x1","CC_Hier_Regression_x2","CC_Govt_Regression_x0","CC_Govt_Regression_x1","CC_Govt_Regression_x2","CC_Infra_Regression_x0","CC_Infra_Regression_x1","CC_Infra_Regression_x2","CC_Writing_Regression_x0","CC_Writing_Regression_x1","CC_Writing_Regression_x2","CC_Texts_Regression_x0","CC_Texts_Regression_x1","CC_Texts_Regression_x2","CC_Money_Regression_x0","CC_Money_Regression_x1","CC_Money_Regression_x2","PC1","PC2"
"ThRattn+1900","['Cambodian Basin']","['48P']",13.039086,104.482301,"WGS84","Krungthep",1900,2000,8.699322244,75.6782075,2.699322244,"High",4000000,15.20180492,513120,50000,6,5,5,6,2.740523342,3,680700,2.987524576,1,0.1,1,0,0.1,0.1,"governed population",1,1,1,1,1,0.756489007,1,-1.787530738,-1.118704471,1,2.107433085,1,0,0,1,1,1,1,3306,105473.5541,30.31282411,1,1,1.726919521,-0.420615625,0,1,0.334452505,0.570817151,1,1,1,1,1,1,1,1,1,1,1,0.847765107,0,1,0.584988368,1,1,1,1,1,1,0.8,0.1,1,1,1,0.8,0.1,0,0,1,128.5458759,1,0.947474685,0.053573084,1801,"['Southeast Asia']",9,"Rattanakosin","confederated state","Thai","Tai-Kadai","Ayutthaya","continuity","Rattanakosin Reform Period","Indianized Southeast Asia",2175000,"vassalage","inactive",1,1,1,1,0.1,0.1,2.1,0.176194746,"Buddhism","Royal Kathina","yearly","yearly","yearly","Drinking of the Water of Allegiance","not applicable","seasonally","seasonally","Swinging Festival","yearly","yearly","yearly","daily almsgiving","daily","daily","daily","daily almsgiving","daily","daily","daily",,6.602059991,5.710218943,4.698970004,5.666666667,0.572727273,0.888888889,0.790123456987654,4,0.888888889,6,"ThRattn",0,0.189189189,0.117647059,71.14112383,0,0,119.7279452,0,0,122.5974801,0,0,130.4166667,0,0,19.73636364,0,0,25.51111111,0,0,108,0,0,25.11111111,0.010477788,0,110,0.149313816,0,4.218226725,1.055922906
"ThRattn+1800","['Cambodian Basin']","['48P']",13.039086,104.482301,"WGS84","Krungthep",1800,1900,7.7297501,59.74903661,1.7297501,"High",1000000,13.81551056,513120,50000,6,5,5,6,2.899714019,3,680700,3.025396763,1,0.1,1,0,0.1,0.1,"governed population",1,1,1,1,1,0.821093263,1,-1.934825455,-1.178190983,1,1.874765422,1,0,0,1,1,1,1,3306,105723.3196,35.03044838,1,0,1.645388952,-0.486370362,0,1,0.261446409,0.642733581,1,1,1,1,1,1,1,1,1,1,1,0.822752564,0,1,0.6505626,1,1,1,1,1,1,0.8,0.1,1,1,0.8,0,0.1,0,0,1,108.7969081,1,1,-0.296940608,1801,"['Southeast Asia']",9,"Rattanakosin","confederated state","Thai","Tai-Kadai","Ayutthaya","continuity","Rattanakosin Reform Period","Indianized Southeast Asia",2175000,"vassalage","inactive",1,1,1,1,0.1,0.1,2.1,0.176194746,"Buddhism","Royal Kathina","yearly","yearly","yearly","Drinking of the Water of Allegiance","not applicable","seasonally","seasonally","Swinging Festival","yearly","yearly","yearly","daily almsgiving","daily","daily","daily","daily almsgiving","daily","daily","daily",,6,5.710218943,4.698970004,5.666666667,0.572727273,0.777777778,0.604938271950617,4,0.888888889,5,"ThRattn",0,0.189189189,0.117647059,65.14112383,0,0,114.0177263,0,0,117.8985101,0,0,124.75,0,0,19.16363636,0,0,24.73333333,0,0,104,0,0,24.22222222,0.80976945,0.777777778,105,5.272628188,5,3.512710691,0.376907062
"IdBrokL+2000","['Kapuasi Basin']","['49N']",0.812371,112.557089,"WGS84","Iban",2000,2100,3,9,-3,"Low",439000,12.99225469,124450,500,3,3,2,1,1,1,11829.61194,0,0,0,0,0,0,0,"state salary",0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3306,0,10.54274995,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0.8,1,1,1,0,0.8,0,1,1,0,46.39498214,0,0,0,1922,"['Southeast Asia']",9,"Kuching","loose","Iban","Malayo-Polynesian","Sultanate of Brunei","elite migration","Indonesia","South-East Asia",4500000,0,"inactive",1,1,1,1,1,1,3,2.015941339,"Iban Religion","The rites of manggol","not applicable","yearly","yearly","Funerary ritual","once per generation","yearly","once per generation","Mandi rumah","once per generation","once per generation","once per generation","Piring","daily","weekly","daily","Piring","daily","daily","daily",,5.64246452,5.094994901,2.698970004,1.75,0.272727273,0.111111111,0.012345678987654,4,0.222222222,6,"IdBrokL",0,0.063063063,0,21.83628455,0,0,15.2849847,0,0,24.29073004,0,0,12.75,0,0,1.272727273,0,0,0.4,0,0,13,0,0,0.111111111,0.622607458,0.111111111,24,8.959558847,6,0.818198936,2.964403817
"RuYakuE+1700","['Lena River Valley']","['52V']",63.533904,129.834874,"WGS84","Sakha",1700,1800,0,0,-6,"Low",5033,8.523771507,1673,100,2,2,2,0.552504975,1,1,-17464.53363,0,0,0,0,0,0,0,"none",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,11.23561997,0,0,0,,"['Central Eurasia']",2,0,"quasi-polity","Yakut","Altaic","Evenk and Yukagir Nomads","population migration","Czarist Russia","Siberia",13100000,0,"active",0.1,0.1,0.1,0.1,0.1,0.1,0.3,-4.323192375,"Yakut Religion","Ayy ysyaxa","seasonally","seasonally","seasonally","Shamanistic Healing Ritual","once per generation","seasonally","once per generation",,"not applicable","once per generation","once per generation","childbirth purification ceremonies","not applicable","monthly","monthly","Weddings","seasonally","monthly","once in a lifetime","Christianity",3.701830317,3.223438274,2,1.666666667,0,0,0,2,0,1,"RuYakuE",0.222222222,0.126126126,0.058823529,,0,0,,0,0,12,0,0,12,0,0,0,0,0,0.177777778,0,0,16,0,0,0,1.555706486,0.472222222,8,18.80535753,12,-3.920105843,-0.207155529
"RuYakuE+1400","['Lena River Valley']","['52V']",63.533904,129.834874,"WGS84","Sakha",1400,1500,0,0,-6,"Low",5286,8.572817095,1891,100,2,2,2,0.554836512,1,1,-17494.81605,0,0,0,0,0,0,0,"none",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,11.21329407,0,0,0,,"['Central Eurasia']",2,0,"quasi-polity","Yakut","Altaic","Evenk and Yukagir Nomads","population migration","Czarist Russia","Siberia",13100000,0,"active",0.1,0.1,0.1,0.1,0.1,0.1,0.3,-4.323192375,"Yakut Religion","Ayy ysyaxa","seasonally","seasonally","seasonally","Shamanistic Healing Ritual","once per generation","seasonally","once per generation",,"not applicable","once per generation","once per generation","childbirth purification ceremonies","not applicable","monthly","monthly","Weddings","seasonally","monthly","once in a lifetime","Christianity",3.723113203,3.276578032,2,1.666666667,0,0,0,2,0,1,"RuYakuE",0.222222222,0.126126126,0.058823529,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.088888889,0,0,2,0,0,0,1.269066909,0.138888889,1,9.820527532,3,-3.89046986,-0.22645193
"RuYakuE+1600","['Lena River Valley']","['52V']",63.533904,129.834874,"WGS84","Sakha",1600,1700,0,0,-6,"Low",7100,8.867850063,1776,100,2,2,2,0.564015521,1,1,-17456.22262,0,0,0,0,0,0,0,"none",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,11.14073931,0,0,0,,"['Central Eurasia']",2,0,"quasi-polity","Yakut","Altaic","Evenk and Yukagir Nomads","population migration","Czarist Russia","Siberia",13100000,0,"active",0.1,0.1,0.1,0.1,0.1,0.1,0.3,-4.323192375,"Yakut Religion","Ayy ysyaxa","seasonally","seasonally","seasonally","Shamanistic Healing Ritual","once per generation","seasonally","once per generation",,"not applicable","once per generation","once per generation","childbirth purification ceremonies","not applicable","monthly","monthly","Weddings","seasonally","monthly","once in a lifetime","Christianity",3.851239354,3.249553415,2,1.666666667,0,0,0,2,0,1,"RuYakuE",0.222222222,0.126126126,0.058823529,,0,0,,0,0,8,0,0,8.666666667,0,0,0,0,0,0.177777778,0,0,12,0,0,0,1.668088893,0.138888889,6,11.17760619,2,-3.851057859,-0.252678077
"RuYakuE+1500","['Lena River Valley']","['52V']",63.533904,129.834874,"WGS84","Sakha",1500,1600,0,0,-6,"Low",7251,8.888894669,1707,100,2,2,2,0.564456157,1,1,-17447.75001,0,0,0,0,0,0,0,"none",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,11.13821756,0,0,0,,"['Central Eurasia']",2,0,"quasi-polity","Yakut","Altaic","Evenk and Yukagir Nomads","population migration","Czarist Russia","Siberia",13100000,0,"active",0.1,0.1,0.1,0.1,0.1,0.1,0.3,-4.323192375,"Yakut Religion","Ayy ysyaxa","seasonally","seasonally","seasonally","Shamanistic Healing Ritual","once per generation","seasonally","once per generation",,"not applicable","once per generation","once per generation","childbirth purification ceremonies","not applicable","monthly","monthly","Weddings","seasonally","monthly","once in a lifetime","Christianity",3.860410506,3.232162849,2,1.666666667,0,0,0,2,0,1,"RuYakuE",0.222222222,0.126126126,0.058823529,,0,0,,0,0,4,0,0,5.333333333,0,0,0,0,0,0.177777778,0,0,8,0,0,0,1.999514847,0.138888889,4,12.24139836,2,-3.854429387,-0.250548377
"IdBrokL+1900","['Kapuasi Basin']","['49N']",0.812371,112.557089,"WGS84","Iban",1900,2000,2,4,-4,"Low",8607,9.060331105,124450,500,3,3,2,1,1,1,-8561.341837,0,0,0,0,0,0,0,"state salary",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3306,0,16.69284579,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,1,0,1,0,0.8,0,1,1,0,55.84850339,0,0,0,1922,"['Southeast Asia']",9,"Kuching","loose","Iban","Malayo-Polynesian","Sultanate of Brunei","elite migration","Indonesia","South-East Asia",4500000,0,"inactive",1,1,1,1,1,1,3,2.015941339,"Iban Religion","The rites of manggol","not applicable","yearly","yearly","Funerary ritual","once per generation","yearly","once per generation","Mandi rumah","once per generation","once per generation","once per generation","Piring","daily","weekly","daily","Piring","daily","weekly","daily",,3.934872351,5.094994901,2.698970004,1.75,0,0.111111111,0.012345678987654,2,0,6,"IdBrokL",0.111111111,0.081081081,0.019607843,,0,0,5.094994901,0,0,16.19382003,0,0,8,0,0,0.636363636,0,0,0.166666667,0,0,9,0,0,0,0.37002644,0,11,10.17321965,8,-0.501678408,3.163349614
"IdBrokE+1900","['Kapuasi Basin']","['49N']",0.812371,112.557089,"WGS84","Iban",1900,2000,0.1,0.01,-5.9,"Low",500,6.214608098,1471,500,1,1,2,1,1,1,-11690.90574,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.1,0,3306,0,8.330521583,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,41.42744992,0,0,0,,"['Southeast Asia']",9,0,"quasi-polity","Iban","Malayo-Polynesian","Iban Communities","continuity","White Rajahs","South-East Asia",4500000,0,"inactive",1,1,1,1,1,1,3,2.015941339,"Iban Religion","The rites of manggol","not applicable","yearly","yearly","Funerary ritual","once per generation","yearly","once per generation","Mandi rumah","once per generation","once per generation","once per generation","Piring","daily","monthly","daily","Piring","daily","monthly","daily",,2.698970004,3.167520339,2.698970004,1.25,0,0.011111111,0.000123456787654,2,0,1,"IdBrokE",0.111111111,0.081081081,0.019607843,10.79588002,0,0,,0,0,13.49485002,0,0,6.75,0,0,0.636363636,0,0,0.155555556,0,0,7,0,0,0,0.37002644,0,10,15.17321965,13,-4.312388306,-0.06135178
"IdBrokE+1700","['Kapuasi Basin']","['49N']",0.812371,112.557089,"WGS84","Iban",1700,1800,0.1,0.01,-5.9,"Low",500,6.214608098,887,500,1,1,2,1,1,1,-11569.98712,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.1,0,3306,0,8.343689155,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,41.32395918,0,0,0,,"['Southeast Asia']",9,0,"quasi-polity","Iban","Malayo-Polynesian","Iban Communities","continuity","White Rajahs","South-East Asia",4500000,0,"inactive",1,1,1,1,1,1,3,2.015941339,"Iban Religion","The rites of manggol","not applicable","yearly","yearly","Funerary ritual","once per generation","yearly","once per generation","Mandi rumah","once per generation","once per generation","once per generation","Piring","daily","monthly","daily","Piring","daily","monthly","daily",,2.698970004,2.948094229,2.698970004,1.25,0,0.011111111,0.000123456787654,2,0,1,"IdBrokE",0.111111111,0.081081081,0.019607843,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272631912,0,0,3.007896621,1,-4.400302626,-0.004466539
"IdBrokE+1800","['Kapuasi Basin']","['49N']",0.812371,112.557089,"WGS84","Iban",1800,1900,0.1,0.01,-5.9,"Low",500,6.214608098,886,500,1,1,2,1,1,1,-11569.59466,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.1,0,3306,0,8.343717488,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,41.32361431,0,0,0,,"['Southeast Asia']",9,0,"quasi-polity","Iban","Malayo-Polynesian","Iban Communities","continuity","White Rajahs","South-East Asia",4500000,0,"inactive",1,1,1,1,1,1,3,2.015941339,"Iban Religion","The rites of manggol","not applicable","yearly","yearly","Funerary ritual","once per generation","yearly","once per generation","Mandi rumah","once per generation","once per generation","once per generation","Piring","daily","monthly","daily","Piring","daily","monthly","daily",,2.698970004,2.947385294,2.698970004,1.25,0,0.011111111,0.000123456787654,2,0,1,"IdBrokE",0.111111111,0.081081081,0.019607843,5.397940009,0,0,,0,0,5.397940009,0,0,2.5,0,0,0,0,0,0.022222222,0,0,3,0,0,0,0.21562752,0,2,2.473681856,1,-4.400586665,-0.004282751
"BrookeRaj+2000","['Kapuasi Basin']","['49N']",0.812371,112.557089,"WGS84","Iban",2000,2100,3,9,-3,"Low",439000,12.99225469,124450,500,3,3,2,1,1,1,-6605.397381,0,0,0,0,0,1,1,"state salary",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3306,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0.098372152,0.251632428,1,1,1,1,0.8,0,0,0,0,0,0,0,0,0.712757123,0,1,1,1,0,0.8,0,1,1,0,47.48623957,0,0,0,1922,"['Southeast Asia']",9,"Kuching","loose","Iban","Malayo-Polynesian","Sultanate of Brunei","elite migration","Indonesia","South-East Asia",4500000,"vassalage","inactive",0.955734616,0.955734616,0.979404648,0.979404648,0.957380787,0.957380787,2.892520051,1.781451669,,"The rites of manggol","yearly","yearly","yearly","Funerary ritual","once per generation","annually","once per generation","Mandi rumah","once per generation","once per generation","once per generation","Piring","daily","weekly","daily","Piring Food Offerings","daily","daily","daily",,5.64246452,5.094994901,2.698970004,1.75,0.636363636,0.111111111,0.012345678987654,1,0.111111111,6,"BrookeRaj",0,0.117117117,0.039215686,16.19382003,0,0,10.1899898,0,0,21.59176003,0,0,11,0,0,0.636363636,0,0,0.288888889,0,0,12,0,0,0,0.733718569,0.222222222,18,8.959558847,6,-0.054222166,2.621353501
"InGaroE+1900","['Garo Hills']","['46R']",25.504037,90.444071,"WGS84","Garo",1900,2000,1,1,-5,"Low",2000,7.60090246,1647,2000,1,1,2,1,2,2,-29426.56493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,61.6,0,22.06606701,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.348803097,1,0.680915156,0,0,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,10,0,0,0,,"['South Asia']",8,0,"quasi-polity","Garo","Sino-Tibetan","Garo Tribes","elite migration","British Colonial India","South Asia",4771577,"none","active",0,0,0,0,0,0,0,-5.027540565,"Garo Religion","Asongtata ceremony","not applicable","yearly","yearly","traumatic birth ritual","once per generation","yearly","once per generation","post-funerary ceremony","not applicable","seasonally","once per generation","Denbilsia","not applicable","yearly","yearly","Wangala","not applicable","monthly","yearly",,3.301029996,3.216648966,3.301029996,1.5,0,0.111111111,0.012345678987654,2,0,1,"InGaroE",0.111111111,0.099099099,0.019607843,6.602059991,0,0,,0,0,6.602059991,0,0,3,0,0,0,0,0,0.222222222,0,0,4,0,0,0,0.868793592,1.194444444,2,14.97268396,19,-3.727332412,-0.479415351
"InGaroE+1800","['Garo Hills']","['46R']",25.504037,90.444071,"WGS84","Garo",1800,1900,1,1,-5,"Low",2000,7.60090246,1817,2000,1,1,2,1,2,2,-29428.18426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,61.6,0,21.8972747,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.348616746,1,0.680071324,0,0,1,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,1,1,0,10,0,0,0,,"['South Asia']",8,0,"quasi-polity","Garo","Sino-Tibetan","Garo Tribes","elite migration","British Colonial India","South Asia",4771577,"none","active",0,0,0,0,0,0,0,-5.027540565,"Garo Religion","Asongtata ceremony","not applicable","yearly","yearly","traumatic birth ritual","once per generation","yearly","once per generation","post-funerary ceremony","not applicable","seasonally","once per generation","Denbilsia","not applicable","yearly","yearly","Wangala","not applicable","monthly","yearly",,3.301029996,3.259263707,3.301029996,1.5,0,0.111111111,0.012345678987654,2,0,1,"InGaroE",0.111111111,0.099099099,0.019607843,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152653499,0.305555556,0,2.243364271,4.5,-3.710258573,-0.490463033
"MnMongE+1000","['Orkhon Valley']","['48T']",48.292339,105.108848,"WGS84","The Early Mongols",1000,1100,-0.163208034,0.026636862,-6.163208034,"Low",80000,11.28978191,70000,500,2,2,5,1,1,1,-25180.14299,0.156696657,0,1,1,1,0.1,-0.003441275,0.1,0,0,1,0,0,1,0,1,1.098703531,0,0.616927022,0,0,0,0,0,0,0.294326586,15819,16,3,0,0,0.21011751,0.983422725,0,0,-0.163208034,0,1,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,0.8,0,0.334909513,0.8,0,0,0,0,0,0,0,0,5,0,0,0,1205,"['Central Eurasia']",2,,"quasi-polity","Naimans","Turkic","Khitan Empire","continuity","Mongolian Empire",,7400000,"alliance",0,1.18221017,1,0.620056254,0.620056254,0.417898643,0.417898643,2.037954897,-0.36063265,,"Great Quriltai","not applicable","yearly","yearly","blood brotherhood ritual","not applicable","not applicable","once in a lifetime","drinking gatherings","daily","daily","daily","divination","daily","daily","daily","divination","daily","daily","daily",,4.903089987,4.84509804,2.698970004,2.25,0.372727273,0,0,3,0,1,"MnMongE",0,0.171171171,0.058823529,192.6093547,0,0,219.3882863,0,0,29.38560627,0,0,98,0,0,9.518181818,0,0,6.4,0,0,98,0,0,8.666666667,2.642437795,0.25,76,17.52431097,1.25,-1.949666389,-1.177312242
"MnMongE+1100","['Orkhon Valley']","['48T']",48.292339,105.108848,"WGS84","The Early Mongols",1100,1200,-0.163208034,0.026636862,-6.163208034,"Low",80000,11.28978191,70000,500,2,2,5,1,1,1,-25180.14299,0.156696657,0,1,1,1,0.1,-0.003441275,0.1,0,0,1,0,0,1,0,1,1.098703531,0,0.616927022,0,0,0,0,0,0,0.294326586,15819,16,3,0,0,0.21011751,0.983422725,0,0,-0.163208034,0,1,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,0.8,0,0.334909513,0.8,0,0,0,0,0,0,0,0,5,0,0,0,1205,"['Central Eurasia']",2,,"quasi-polity","Naimans","Turkic","Khitan Empire","continuity","Mongolian Empire",,7400000,"alliance",0,1.18221017,1,0.620056254,0.620056254,0.417898643,0.417898643,2.037954897,-0.36063265,,"Great Quriltai","not applicable","yearly","yearly","blood brotherhood ritual","not applicable","not applicable","once in a lifetime","drinking gatherings","daily","daily","daily","divination","daily","daily","daily","divination","daily","daily","daily",,4.903089987,4.84509804,2.698970004,2.25,0.372727273,0,0,3,0,1,"MnMongE",0,0.171171171,0.058823529,209.6942883,0,0,236.7105056,0,0,32.08457628,0,0,108.75,0,0,11.03636364,0,0,7.244444444,0,0,109,0,0,10,2.221049296,0.25,88,11.03970739,1.25,-1.949666389,-1.177312242
"MnMongE+1200","['Orkhon Valley']","['48T']",48.292339,105.108848,"WGS84","The Early Mongols",1200,1300,-0.163208034,0.026636862,-6.163208034,"Low",80000,11.28978191,70000,500,2,2,5,1,1,1,-25180.14299,0.156696657,0,1,1,1,0.1,-0.003441275,0.1,0,0,1,0,0,1,0,1,1.098703531,0,0.616927022,0,0,0,0,0,0,0.294326586,15819,16,3,0,0,0.21011751,0.983422725,0,0,-0.163208034,0,1,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,0.8,0,0.334909513,0.8,0,0,0,0,0,0,0,0,5,0,0,0,1205,"['Central Eurasia']",2,,"quasi-polity","Naimans","Turkic","Khitan Empire","continuity","Mongolian Empire",,7400000,"alliance",0,1.18221017,1,0.620056254,0.620056254,0.417898643,0.417898643,2.037954897,-0.36063265,,"Great Quriltai","not applicable","yearly","yearly","blood brotherhood ritual","not applicable","not applicable","once in a lifetime","drinking gatherings","daily","daily","daily","divination","daily","daily","daily","divination","daily","daily","daily",,4.903089987,4.84509804,2.698970004,2.25,0.372727273,0,0,3,0,1,"MnMongE",0,0.171171171,0.058823529,221.1771619,0,0,247.8566336,0,0,34.78354628,0,0,115,0,0,12.05454545,0,0,7.722222222,0,0,116,0,0,11,2.165643158,0.25,94,10.79680907,1.25,-1.949666389,-1.177312242
"MnMongE+1300","['Orkhon Valley']","['48T']",48.292339,105.108848,"WGS84","The Early Mongols",1300,1400,-0.163208034,0.026636862,-6.163208034,"Low",80000,11.28978191,70000,500,2,2,5,1,1,1,-25180.14299,0.156696657,0,1,1,1,0.1,-0.003441275,0.1,0,0,1,0,0,1,0,1,1.098703531,0,0.616927022,0,0,0,0,0,0,0.294326586,15819,16,3,0,0,0.21011751,0.983422725,0,0,-0.163208034,0,1,0,0,0,0,0,0.1,0.1,1,0.1,0.1,0,1,0,0,0,0,0,0,0.8,0,0.334909513,0.8,0,0,0,0,0,0,0,0,5,0,0,0,1205,"['Central Eurasia']",2,,"quasi-polity","Naimans","Turkic","Khitan Empire","continuity","Mongolian Empire",,7400000,"alliance",0,1.18221017,1,0.620056254,0.620056254,0.417898643,0.417898643,2.037954897,-0.36063265,,"Great Quriltai","not applicable","yearly","yearly","blood brotherhood ritual","not applicable","not applicable","once in a lifetime","drinking gatherings","daily","daily","daily","divination","daily","daily","daily","divination","daily","daily","daily",,4.903089987,4.84509804,2.698970004,2.25,0.372727273,0,0,3,0,1,"MnMongE",0,0.171171171,0.058823529,247.0215098,0,0,280.0857791,0,0,43.38560627,0,0,135.75,0,0,15.35454545,0,0,10.23333333,0,0,135,0,0,14.55555556,0.201955797,0.5,116,0.940250396,2.5,-1.949666389,-1.177312242
